Diff_FromDomActDom,BL_IP,Created_within_1_year,Expire_within_13_months,mail_dt,cntry,msgid,tm,cn_typ,hop
1,1,0,1,0.5137809,0.411251,0.7467921,0.6540622,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.574159,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.3920664,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7579979,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.0243944,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7621993,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8833602,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.699004,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.2507565,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7692892,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.5276703,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.987696,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.2918745,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.1704935,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.6378624,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.7966446,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.2988944,0.8367861,5
1,1,0,1,0.8990921,0.411251,0.7467921,0.9095984,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.0958776,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.4725405,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.2063223,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.5215257,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.7742763,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.9210804,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.9842205,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8707663,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.929407,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.7003333,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.9912638,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3144471,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.5535235,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.6559752,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.1715594,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.5298924,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.7825877,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.6907361,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.30615,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.4235938,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.2845726,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.3092347,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8178193,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.6725431,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.9884039,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.5988403,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.5325679,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.8421679,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.0237038,0.8367861,5
1,1,0,1,0.5137809,0.411251,0.7467921,0.3468655,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.7914465,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3482344,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3048244,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.5112039,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.3172622,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.0982521,0.8367861,5
1,1,0,1,0.8110802,0.411251,0.7467921,0.370146,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.212568,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.6957164,0.8367861,5
1,1,0,1,0.9697588,0.411251,0.7467921,0.0484613,0.8367861,5
