Diff_FromDomActDom,BL_IP,Created_within_1_year,Expire_in_13_months,mail_dt,cntry,msgid,tm,cn_typ,hop
0,0,0,0,0.6722807,0.3464221,0.4461908,0.0801332,0.8367861,1
0,0,0,0,0.2161767,0.3464221,0.5262304,0.8598599,0.8367861,1
0,0,0,0,0.2161767,0.3464221,0.2157779,0.7522028,0.8367861,1
0,0,0,0,0.3546026,0.3464221,0.8816066,0.9564643,0.8367861,1
0,0,0,0,0.0283764,0.3464221,0.4341812,0.4853609,0.8367861,1
0,0,0,0,0.7618044,0.3464221,0.3466604,0.5612891,0.8367861,1
0,0,0,0,0.3486138,0.3464221,0.8360157,0.2729897,0.8367861,1
0,0,0,0,0.0283764,0.3464221,0.2489671,0.4084077,0.8367861,1
0,0,0,0,0.723592,0.3464221,0.234341,0.0588277,0.5043382,1
0,0,0,0,0.3025957,0.3464221,0.7433481,0.1685095,0.8367861,1
0,0,0,0,0.582347,0.3464221,0.7665942,0.2787562,0.8367861,1
0,0,0,0,0.9982411,0.3464221,0.8682199,0.6093013,0.8367861,1
0,0,0,0,0.9982411,0.3464221,0.5317975,0.5506977,0.8367861,1
0,0,0,0,0.2467546,0.3464221,0.3089745,0.7068533,0.8367861,1
0,0,0,0,0.774424,0.3464221,0.5158259,0.9285032,0.8367861,1
0,0,0,0,0.3075545,0.3464221,0.6914102,0.3605643,0.8367861,1
0,0,0,0,0.0171803,0.8510309,0.4786133,0.1142168,0.8367861,1
0,0,0,0,0.5280844,0.3616234,0.3272007,0.7260482,0.8367861,1
0,0,0,1,0.5603268,0.3464221,0.8670925,0.2509348,0.8367861,1
0,0,0,0,0.8043139,0.3464221,0.0388337,0.7196044,0.8367861,1
0,0,0,0,0.9691153,0.3464221,0.8241886,0.8247458,0.8367861,1
0,0,0,0,0.1877011,0.3464221,0.5086475,0.530549,0.8367861,1
0,0,0,1,0.4902852,0.3464221,0.8579032,0.9224949,0.8367861,1
0,0,0,1,0.4902852,0.3464221,0.546083,0.0809417,0.8367861,1
0,0,0,0,0.6977323,0.3464221,0.5810822,0.9817011,0.8367861,1
0,0,0,1,0.456204,0.8921268,0.4648198,0.2177272,0.8367861,1
0,0,0,0,0.5640049,0.3464221,0.5047318,0.9227575,0.8367861,1
0,0,0,0,0.7277642,0.6091574,0.5686519,0.8054843,0.8367861,1
0,0,0,0,0.2415735,0.3464221,0.1693883,0.4157443,0.8367861,1
0,0,0,0,0.5341208,0.3464221,0.5892831,0.3702184,0.8367861,1
0,1,0,1,0.4064379,0.3983118,0.6924399,0.7190448,0.8367861,1
0,1,0,1,0.407359,0.3983118,0.338137,0.5485837,0.8367861,1
0,1,0,1,0.8381684,0.3983118,0.0754744,0.1280367,0.8367861,1
0,0,0,0,0.8213641,0.3464221,0.4319426,0.641213,0.8367861,1
0,0,0,0,0.1237001,0.3464221,0.8863801,0.604251,0.8367861,1
0,0,0,0,0.4740817,0.3464221,0.1371292,0.4846958,0.8367861,1
0,0,0,0,0.3730858,0.3464221,0.9890504,0.3743284,0.8367861,1
0,0,0,0,0.4740817,0.3464221,0.8446249,0.8881976,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.0371659,0.5132958,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.452842,0.2959706,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.3853533,0.1547232,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.1678936,0.2025096,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.7735908,0.9588474,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.0488046,0.9740027,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.2878292,0.7519503,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.8694047,0.8623938,0.8367861,1
0,0,0,0,0.9536384,0.3464221,0.6365756,0.612153,0.8367861,1
0,0,0,0,0.6236528,0.3464221,0.6103206,0.1022285,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.784382,0.7610401,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.3982825,0.9740777,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.6360096,0.9370116,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.4094509,0.1383025,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.4349635,0.1333625,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.6720217,0.5689086,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.9788513,0.6020552,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.00418,0.9805366,0.8367861,1
0,0,0,0,0.8741539,0.3464221,0.3124214,0.6346446,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.7073426,0.003557,0.8367861,1
0,0,0,0,0.6236528,0.3464221,0.7241703,0.0689917,0.8367861,1
0,0,0,0,0.9536384,0.3464221,0.8814224,0.3497547,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.741965,0.7228889,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.9535503,0.0914903,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.9356307,0.458116,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.5874078,0.3719708,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.2841383,0.5643517,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.6470757,0.8030286,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.2804962,0.5427249,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.6984993,0.4702776,0.8367861,1
0,0,0,0,0.0946502,0.3464221,0.1920232,0.0420098,0.8367861,1
0,0,0,0,0.1987317,0.3464221,0.6140431,0.9096195,0.8367861,1
